data,produto,categoria,vendedor,quantidade_vendida,preco_unitario,valor_total,estoque_atual,estoque_minimo,meta_mensal_vendedor
2025-01-01,Meia Kit c/3,Vestuário,Beatriz Rocha,4,29.9,119.6,99,25,20000
2025-01-01,Boné Aba Reta,Acessórios,Diego Alves,5,49.9,249.5,89,20,12000
2025-01-01,Boné Aba Reta,Acessórios,Ana Souza,2,49.9,99.8,89,20,18000
2025-01-01,Óculos de Sol,Acessórios,Diego Alves,5,119.9,599.5,40,9,12000
2025-01-01,Boné Aba Reta,Acessórios,Ana Souza,1,49.9,49.9,88,20,18000
2025-01-01,Boné Aba Reta,Acessórios,Beatriz Rocha,4,49.9,199.6,88,20,20000
2025-01-01,Bota Coturno,Calçados,Ana Souza,1,289.9,289.9,18,4,18000
2025-01-02,Camiseta Basic,Vestuário,Diego Alves,1,39.9,39.9,80,15,12000
2025-01-02,Óculos de Sol,Acessórios,Carlos Lima,5,119.9,599.5,40,9,15000
2025-01-02,Meia Kit c/3,Vestuário,Diego Alves,4,29.9,119.6,98,25,12000
2025-01-02,Óculos de Sol,Acessórios,Diego Alves,1,119.9,119.9,39,9,12000
2025-01-02,Camiseta Basic,Vestuário,Ana Souza,5,39.9,199.5,80,15,18000
2025-01-02,Boné Aba Reta,Acessórios,Diego Alves,3,49.9,149.7,87,20,12000
2025-01-02,Tênis Urbano,Calçados,Ana Souza,5,249.9,1249.5,29,6,18000
2025-01-02,Camiseta Basic,Vestuário,Carlos Lima,5,39.9,199.5,79,15,15000
2025-01-03,Tênis Urbano,Calçados,Diego Alves,4,249.9,999.6,28,6,12000
2025-01-03,Tênis Urbano,Calçados,Diego Alves,5,249.9,1249.5,27,6,12000
2025-01-03,Calça Jeans,Vestuário,Diego Alves,2,129.9,259.8,39,8,12000
2025-01-03,Meia Kit c/3,Vestuário,Carlos Lima,2,29.9,59.8,97,25,15000
2025-01-04,Tênis Urbano,Calçados,Beatriz Rocha,3,249.9,749.7,26,6,20000
2025-01-04,Boné Aba Reta,Acessórios,Diego Alves,4,49.9,199.6,87,20,12000
2025-01-04,Camiseta Basic,Vestuário,Ana Souza,4,39.9,159.6,78,15,18000
2025-01-04,Meia Kit c/3,Vestuário,Ana Souza,4,29.9,119.6,97,25,18000
2025-01-04,Sandália Casual,Calçados,Carlos Lima,5,89.9,449.5,44,10,15000
2025-01-05,Tênis Urbano,Calçados,Ana Souza,5,249.9,1249.5,25,6,18000
2025-01-05,Óculos de Sol,Acessórios,Beatriz Rocha,3,119.9,359.7,39,9,20000
2025-01-05,Boné Aba Reta,Acessórios,Carlos Lima,3,49.9,149.7,86,20,15000
2025-01-05,Tênis Urbano,Calçados,Carlos Lima,5,249.9,1249.5,25,6,15000
2025-01-05,Óculos de Sol,Acessórios,Beatriz Rocha,5,119.9,599.5,38,9,20000
2025-01-05,Boné Aba Reta,Acessórios,Carlos Lima,3,49.9,149.7,85,20,15000
2025-01-06,Sandália Casual,Calçados,Ana Souza,2,89.9,179.8,43,10,18000
2025-01-06,Camiseta Basic,Vestuário,Ana Souza,3,39.9,119.7,78,15,18000
2025-01-06,Mochila Executiva,Acessórios,Ana Souza,3,159.9,479.7,34,7,18000
2025-01-06,Sandália Casual,Calçados,Carlos Lima,3,89.9,269.7,42,10,15000
2025-01-06,Bota Coturno,Calçados,Diego Alves,2,289.9,579.8,17,4,12000
